2026-04-27 17:43:16, MOVE, v:1, k:fup@cobra, mode:PICK
2026-04-27 17:43:23, EXEC, v:1, k:fup@cobra, mode:FULL, rate:0
2026-04-27 17:43:27, MOVE, v:1, k:fup@cobra, mode:BACK
2026-04-27 17:43:23, MOVE, v:1, k:fup@cobra, mode:EDIT
2026-04-27 17:54:19, MOVE, v:1, k:sandbox@user_001, mode:PICK
2026-04-27 17:54:21, MOVE, v:1, k:sandbox@user_001, mode:BACK
2026-04-27 17:54:28, MOVE, v:1, k:sandbox@user_002, mode:PICK
2026-04-27 17:54:09, MOVE, v:1, k:sandbox@user_002, mode:EDIT
2026-04-27 17:56:26, MOVE, v:1, k:sandbox@user_002, mode:EDIT
2026-04-27 18:03:06, MOVE, v:1, k:sandbox@user_002, mode:EDIT
2026-04-27 18:08:12, MOVE, v:1, k:sandbox@user_002, mode:EDIT
2026-04-27 18:13:15, MOVE, v:1, k:sandbox@user_002, mode:EDIT
2026-04-27 18:18:17, MOVE, v:1, k:sandbox@user_002, mode:EDIT
2026-04-27 18:23:16, MOVE, v:1, k:sandbox@user_002, mode:EDIT
